number,form.food.ate_past_24_h,form.food.nbr_eat_7_day,form.food.fooditem,food,nbr_food,number_meals,Ano,Mês,Dia
1070,0,0,tsako,,0,1,2018,agosto,8
1071,0,0,voanemba,1 20 5,3,2,2018,agosto,8
1072,0,0,antake,1 5,2,2,2018,agosto,8
1073,1,25,raketa_mena,,0,1,2018,agosto,8
1074,0,0,taboara,,0,2,2018,agosto,8
1075,0,0,voankazo_hafa,5,1,1,2018,agosto,8
1076,0,0,ampemba,1 16 5,3,1,2018,agosto,8
1077,1,7,ravina_hafa,1 12 16 5 6,5,1,2018,agosto,8
1078,0,0,hena_omby,12 16 21 5,4,2,2018,agosto,8
1079,0,0,hena_hafa,1 16 5,3,2,2018,agosto,8
1080,0,0,tsako,1 5,2,3,2018,agosto,8
1081,0,0,voanemba,2,1,2,2018,agosto,8
1082,0,0,tsaramaso,16 21,2,3,2018,agosto,8
1083,0,0,antake,1 16 2,3,2,2018,agosto,8
1084,1,21,raketa_mena,4 5,2,1,2018,agosto,8
1085,0,0,legumes,1 2 5,3,2,2018,agosto,8
1086,0,0,taboara,,0,,2018,agosto,8
1087,0,0,voankazo_hafa,1 2 6,3,3,2018,agosto,8
1088,0,0,ampemba,12 21 5,3,2,2018,agosto,8
1089,0,0,raketa_ravina,1 20 5,3,1,2018,agosto,8
1090,1,7,legumes_hafa,1 2 5,3,2,2018,agosto,8
1091,1,7,raketa_mena,5 7,2,3,2019,setembro,14
1100,1,14,raketa_mena,1 5 7,3,3,2019,setembro,14
1101,1,14,balahazo _maina,2 7,2,3,2019,setembro,14
1110,1,21,raketa_mena,5 7,2,7,2019,setembro,14
1111,1,1,ravi_balahazo,5 7,2,2,2019,setembro,14
1120,1,14,balahazo _maina,1 10 12,3,3,2019,setembro,14
1130,0,21,raketa_mena,1 10 12 18,4,2,2019,agosto,20
1140,1,21,raketa_mena,12 2 21 25 27 29 5,7,3,2019,setembro,23
1150,1,21,raketa_mena,1 10 2 25 27,5,3,2019,setembro,23
1151,0,2,ravi_balahazo,12 21 25 5,4,3,2019,setembro,23
1160,1,7,raketa_mena,1 10 18 2 5,5,2,2019,setembro,23
1170,1,14,raketa_mena,2 21 25 7,4,3,2019,setembro,23
1180,1,21,raketa_mena,2 7,2,2,2019,setembro,24
1190,1,14,raketa_mena,,0,3,2019,setembro,24
1200,1,7,tsako,13 2 27 5 7,5,3,2019,setembro,24
1201,1,14,raketa_mena,5,1,2,2019,setembro,24
1210,1,12,tsako,1 2 7,3,3,2019,setembro,21
1211,1,14,raketa_mena,1 7,2,2,2019,setembro,21
1220,1,21,raketa_mena,,,,,,
1221,1,7,balahazo _maina,,,,,,
1230,1,5,tsako,,,,,,
1231,1,14,raketa_mena,,,,,,
1240,1,2,tsako,,,,,,
1241,1,8,raketa_mena,,,,,,
1250,1,7,ravina_hafa,,,,,,
1251,1,7,balahazo _maina,,,,,,
1252,1,7,bageda,,,,,,
1260,1,2,tsako,,,,,,
1261,1,1,voanemba,,,,,,
1262,1,2,balahazo _maina,,,,,,
1263,1,2,bageda,,,,,,
1270,1,7,balahazo _maina,,,,,,
1271,1,7,bageda,,,,,,
1280,1,14,pitipoa,,,,,,
1281,1,15,balahazo _maina,,,,,,
1290,1,7,balahazo _maina,,,,,,
1291,1,7,bageda,,,,,,
1300,1,3,tsako,,,,,,
1301,1,2,voanemba,,,,,,
1302,1,4,ampemba,,,,,,
1303,1,3,Menaka,,,,,,
1304,1,3,pitipoa,,,,,,
1310,1,7,sakafo_hafa_soraty,,,,,,
1311,1,7,balahazo _maina,,,,,,
1320,1,4,ampemba,,,,,,
1321,0,5,balahazo _maina,,,,,,
1322,1,3,sakafo_ambaniny_tany_hafa,,,,,,
1330,0,4,voanemba,,,,,,
1331,1,1,vary,,,,,,
1332,0,3,balahazo _maina,,,,,,
1333,1,7,bageda,,,,,,
1340,0,3,ampemba,,,,,,
1341,1,7,balahazo _maina,,,,,,
1342,0,5,bageda,,,,,,
1350,1,7,antake,,,,,,
1351,1,7,balahazo _maina,,,,,,
1360,0,1,tsako,,,,,,
1361,0,1,voanemba,,,,,,
1362,1,2,antake,,,,,,
1363,1,7,balahazo _maina,,,,,,
1364,0,3,bageda,,,,,,
1370,0,2,antake,,,,,,
1371,0,5,raketa_mena,,,,,,
1372,1,7,balahazo _maina,,,,,,
1373,1,4,bageda,,,,,,
1380,1,7,voanemba,,,,,,
1381,1,7,antake,,,,,,
1382,1,7,raketa_mena,,,,,,
1383,1,5,taboara,,,,,,
1384,1,7,ravina_hafa,,,,,,
1385,1,1,hena_hafa,,,,,,
1386,0,3,sakafo_hafa_soraty,,,,,,
1387,1,7,balahazo _maina,,,,,,
1388,1,7,bageda,,,,,,
1389,0,2,katra,,,,,,
1390,1,7,raketa_mena,,,,,,
1391,1,7,ravina_hafa,,,,,,
1392,1,7,Menaka,,,,,,
1393,1,6,sakafo_hafa_soraty,,,,,,
1394,1,5,balahazo _maina,,,,,,
1400,1,4,antake,,,,,,
1401,1,3,ravina_hafa,,,,,,
1402,0,1,hena_hafa,,,,,,
1403,0,4,sakafo_hafa_soraty,,,,,,
1404,1,7,balahazo _maina,,,,,,
1410,0,2,tsako,,,,,,
1411,1,7,voanemba,,,,,,
1412,0,1,taboara,,,,,,
1413,1,4,ampemba,,,,,,
1414,0,2,ravina_hafa,,,,,,
1415,1,7,Menaka,,,,,,
1416,1,2,pitipoa,,,,,,
1417,1,7,sakafo_hafa_soraty,,,,,,
1418,1,7,bageda,,,,,,
1420,1,7,balahazo _maina,,,,,,
1421,1,2,bageda,,,,,,
1430,0,2,tsako,,,,,,
1431,0,1,voanemba,,,,,,
1432,1,1,antake,,,,,,
1433,1,7,balahazo _maina,,,,,,
1434,0,1,bageda,,,,,,
1440,1,7,taboara,,,,,,
1441,1,7,balahazo _maina,,,,,,
1450,1,14,balahazo _maina,,,,,,
1460,1,7,ampemba,,,,,,
1461,1,7,balahazo _maina,,,,,,
1470,0,2,tsako,,,,,,
1471,0,0,voanemba,,,,,,
1472,1,2,antake,,,,,,
1473,0,1,taboara,,,,,,
1474,1,7,ampemba,,,,,,
1480,1,14,balahazo _maina,,,,,,
1490,1,21,balahazo _maina,,,,,,
1491,1,21,bageda,,,,,,
1500,1,2,ampemba,,,,,,
1501,1,5,Menaka,,,,,,
1502,1,3,balahazo _maina,,,,,,
1503,0,5,bageda,,,,,,
1510,1,2,tsako,,,,,,
1511,1,5,voanemba,,,,,,
1512,1,6,taboara,,,,,,
1513,1,7,balahazo _maina,,,,,,
1514,1,4,bageda,,,,,,
1520,0,2,voanemba,,,,,,
1521,1,3,legumes,,,,,,
1522,1,4,Menaka,,,,,,
1523,0,3,hazan-dranomasina,,,,,,
1524,0,3,balahazo _maina,,,,,,
1525,0,4,bageda,,,,,,
1530,1,3,ravina_hafa,,,,,,
1531,1,2,balahazo _maina,,,,,,
1540,1,3,antake,,,,,,
1541,1,5,ravina_hafa,,,,,,
1542,1,7,bageda,,,,,,
1543,1,4,sakafo_ambaniny_tany_hafa,,,,,,
1550,1,2,tsako,,,,,,
1551,1,2,voanemba,,,,,,
1552,1,5,antake,,,,,,
1553,1,6,taboara,,,,,,
1554,1,7,balahazo _maina,,,,,,
1555,1,4,bageda,,,,,,
1560,1,21,ampemba,,,,,,
1561,1,21,pitipoa,,,,,,
1562,1,21,sakafo_hafa_soraty,,,,,,
1570,1,7,ampemba,,,,,,
1571,1,7,Menaka,,,,,,
1572,1,7,pitipoa,,,,,,
1580,1,4,tsako,,,,,,
1581,1,7,antake,,,,,,
1582,1,3,balahazo _maina,,,,,,
1583,1,3,bageda,,,,,,
